ID,Date,Element,Data_Value
USC00264439,2006-04-14,TMAX,267
USS0015N10S,2008-10-22,TMAX,113
USC00260125,2005-11-27,TMIN,39
USR0000NKYL,2006-07-18,TMAX,278
USC00265705,2015-02-18,TMIN,67
USC00260125,2015-07-15,TMIN,289
USC00260125,2005-04-07,TMAX,272
USR0000NRER,2008-10-13,TMAX,150
USW00023169,2009-07-02,TMIN,283
USR0000NRER,2008-10-13,TMIN,56
USS0015N10S,2012-01-22,TMAX,23
USR0000AMUS,2007-03-03,TMIN,-17
USS0015N10S,2015-07-09,TMIN,63
USR0000NRER,2005-11-26,TMAX,139
USR0000NRER,2012-11-12,TMAX,128
USW00023169,2008-12-29,TMAX,122
USW00023169,2009-07-02,TMAX,350
USR0000AMUS,2011-10-12,TMIN,100
USC00264439,2015-02-05,TMAX,222
USC00264439,2009-01-13,TMAX,183
USC00265705,2015-02-05,TMAX,222
USW00053123,2013-04-17,TMAX,183
USW00053123,2013-04-17,TMIN,94
USC00264439,2011-07-06,TMIN,261
USC00265705,2015-02-05,TMIN,89
USR0000AMUS,2015-01-09,TMIN,6
USR0000NRER,2012-11-12,TMIN,-22
USC00260125,2008-12-27,TMIN,-11
USC00028516,2007-01-09,TMAX,172
USR0000NRER,2005-07-12,TMIN,200
USC00264439,2011-07-06,TMAX,383
USW00023169,2006-07-02,TMIN,294
USW00053123,2015-10-25,TMAX,239
USW00023169,2006-07-02,TMAX,417
USC00264439,2011-02-05,TMAX,206
USC00265705,2012-12-07,TMIN,106
USR0000NRER,2006-11-22,TMIN,122
USC00265705,2009-01-13,TMIN,33
USC00264439,2015-02-05,TMIN,72
USR0000NKYL,2005-05-30,TMIN,39
USR0000NRER,2006-11-22,TMAX,211
USR0000NRER,2013-09-08,TMAX,261
USW00023169,2009-11-07,TMIN,139
USC00265705,2009-01-13,TMAX,206
USR0000NKYL,2013-07-03,TMAX,344
USC00264439,2012-12-07,TMAX,194
USW00023169,2009-11-07,TMAX,256
USW00053123,2015-08-22,TMAX,400
USC00264439,2009-01-13,TMIN,33
USC00264439,2012-12-07,TMIN,61
USR0000NRER,2013-09-08,TMIN,183
USR0000NRER,2005-11-26,TMIN,28
USR0000AMUS,2005-12-06,TMIN,-17
USW00053123,2015-10-25,TMIN,150
USC00265705,2012-12-07,TMAX,211
USW00053123,2015-08-22,TMIN,267
USS0015N10S,2012-04-12,TMAX,40
USS0015N10S,2012-04-12,TMIN,-64
USS0015N10S,2012-01-22,TMIN,-71
USC00260125,2005-04-07,TMIN,106
USC00264439,2011-02-05,TMIN,50
USR0000AMUS,2015-01-09,TMAX,161
USC00028516,2007-03-13,TMIN,56
USR0000AMUS,2007-03-03,TMAX,94
USC00261371,2005-09-01,TMIN,222
USC00265705,2014-04-26,TMAX,267
USC00264439,2014-04-26,TMIN,94
USC00260125,2013-07-14,TMIN,272
USW00023169,2005-10-30,TMAX,239
USR0000AMUS,2005-12-06,TMAX,100
USC00264439,2013-07-29,TMIN,239
USC00264439,2013-07-29,TMAX,400
USC00260125,2013-07-14,TMAX,411
USW00023169,2005-10-30,TMIN,128
USR0000NKYL,2009-08-22,TMIN,122
USC00028516,2007-03-13,TMAX,300
